EventType,ActionTime,FromDeme.FromHost,ToDeme.ToHost
INFECTION,0,NA,House4001-8000-FEMALE
INFECTION,0.00795395786743639,House4001-8000-FEMALE,House1033-2064-MALE
DEATH,0.0378348253683845,House2180-4359-FEMALE,House2180-4359-FEMALE
DEATH,0.072864940713406,House397-792-MALE,House397-792-MALE
DEATH,0.081922387405495,House765-1529-FEMALE,House765-1529-FEMALE
DEATH,0.0978393958325756,House88-175-FEMALE,House88-175-FEMALE
DEATH,0.106494871928668,House15-28-MALE,House15-28-MALE
INFECTION,0.116603376103689,House4001-8000-FEMALE,House877-1752-MALE
DEATH,0.124942086127547,House2325-4648-MALE,House2325-4648-MALE
DEATH,0.127639548102402,House2530-5059-FEMALE,House2530-5059-FEMALE
DEATH,0.135667243228119,House2199-4397-FEMALE,House2199-4397-FEMALE
DEATH,0.147116153383952,House185-369-FEMALE,House185-369-FEMALE
DEATH,0.147751913631478,House1295-2588-MALE,House1295-2588-MALE
DEATH,0.149895942296037,House2938-5874-MALE,House2938-5874-MALE
DEATH,0.169232464202769,House741-1480-MALE,House741-1480-MALE
INFECTION,0.1938831998223,House4001-8000-FEMALE,House1516-3030-MALE
DEATH,0.250598078672706,House994-1987-FEMALE,House994-1987-FEMALE
DEATH,0.275618085391748,House683-1365-FEMALE,House683-1365-FEMALE
DEATH,0.278721624488514,House886-1771-FEMALE,House886-1771-FEMALE
DEATH,0.282874321006746,House1037-2072-MALE,House1037-2072-MALE
DEATH,0.284926265834529,House836-1670-MALE,House836-1670-MALE
DEATH,0.307746719002886,House3809-7616-MALE,House3809-7616-MALE
DEATH,0.311690863446695,House888-1774-MALE,House888-1774-MALE
DEATH,0.312635788360239,House3259-6516-MALE,House3259-6516-MALE
DEATH,0.357156026844734,House3545-7089-FEMALE,House3545-7089-FEMALE
DEATH,0.364737902160544,House1141-2281-FEMALE,House1141-2281-FEMALE
DEATH,0.372645263306311,House3265-6529-FEMALE,House3265-6529-FEMALE
DEATH,0.383655982743178,House363-725-FEMALE,House363-725-FEMALE
DEATH,0.39548359163583,House603-1204-MALE,House603-1204-MALE
DEATH,0.425911463480808,House2068-4134-MALE,House2068-4134-MALE
DEATH,0.4272554647947,House979-1956-MALE,House979-1956-MALE
DEATH,0.447940904014402,House3933-7864-MALE,House3933-7864-MALE
DEATH,0.45953983112807,House1947-3893-FEMALE,House1947-3893-FEMALE
DEATH,0.460374408464749,House385-769-FEMALE,House385-769-FEMALE
DEATH,0.461689042319751,House1185-2369-FEMALE,House1185-2369-FEMALE
DEATH,0.509093966589561,House1659-3317-FEMALE,House1659-3317-FEMALE
DEATH,0.510680928323275,House2072-4142-MALE,House2072-4142-MALE
DEATH,0.511716635599922,House2626-5251-FEMALE,House2626-5251-FEMALE
DEATH,0.520142556894125,House2113-4224-MALE,House2113-4224-MALE
DEATH,0.555090269956189,House1952-3903-FEMALE,House1952-3903-FEMALE
DEATH,0.555862562063709,House1014-2027-FEMALE,House1014-2027-FEMALE
DEATH,0.559948763456445,House2573-5144-MALE,House2573-5144-MALE
DEATH,0.562581469969287,House945-1889-FEMALE,House945-1889-FEMALE
DEATH,0.572948961074337,House1717-3433-FEMALE,House1717-3433-FEMALE
DEATH,0.574820853373085,House1208-2415-FEMALE,House1208-2415-FEMALE
DEATH,0.5788904152775,House3389-6776-MALE,House3389-6776-MALE
DEATH,0.587368015865627,House2750-5498-MALE,House2750-5498-MALE
DEATH,0.588984942563343,House663-1325-FEMALE,House663-1325-FEMALE
DEATH,0.593157321418771,House2809-5617-FEMALE,House2809-5617-FEMALE
DEATH,0.601600050152394,House1770-3539-FEMALE,House1770-3539-FEMALE
DEATH,0.660963328865081,House2371-4740-MALE,House2371-4740-MALE
DEATH,0.67334096202708,House1553-3104-MALE,House1553-3104-MALE
DEATH,0.689535607566073,House885-1768-MALE,House885-1768-MALE
DEATH,0.697748337900661,House3802-7603-FEMALE,House3802-7603-FEMALE
BIRTH,0.703291537764743,House3265-6528-MALE,House3265-8200-FEMALE
DEATH,0.734389922611101,House2493-4984-MALE,House2493-4984-MALE
DEATH,0.753379762673281,House3602-7202-MALE,House3602-7202-MALE
DEATH,0.763140753997023,House416-830-MALE,House416-830-MALE
DEATH,0.770116686027772,House143-285-FEMALE,House143-285-FEMALE
DEATH,0.796787489979323,House2369-4737-FEMALE,House2369-4737-FEMALE
DEATH,0.805039811373392,House2618-5234-MALE,House2618-5234-MALE
DEATH,0.833390505762228,House4001-8193-FEMALE,House4001-8193-FEMALE
DEATH,0.850904383269375,House1288-2574-MALE,House1288-2574-MALE
DEATH,0.854793902652802,House1779-3557-FEMALE,House1779-3557-FEMALE
DEATH,0.87106376644856,House3047-6093-FEMALE,House3047-6093-FEMALE
BIRTH,0.872545915308173,House1295-2589-FEMALE,House1295-8201-MALE
DEATH,0.897847058329821,House1774-3547-FEMALE,House1774-3547-FEMALE
DEATH,0.91628684152695,House3364-6727-FEMALE,House3364-6727-FEMALE
DEATH,0.930121688572206,House337-672-MALE,House337-672-MALE
DEATH,0.940608381697688,House3269-6537-FEMALE,House3269-6537-FEMALE
DEATH,0.949349060572537,House702-1402-MALE,House702-1402-MALE
DEATH,0.949676443767964,House1287-2573-FEMALE,House1287-2573-FEMALE
